No,Stasiun,Singkatan,Wilayah,Transaksi,1_Okt,2_Okt,3_Okt,4_Okt,5_Okt,6_Okt,7_Okt,8_Okt,9_Okt,10_Okt,11_Okt,12_Okt,13_Okt,14_Okt,15_Okt,16_Okt,17_Okt,18_Okt,19_Okt,20_Okt,21_Okt,22_Okt,23_Okt,24_Okt,25_Okt,26_Okt,27_Okt,28_Okt,29_Okt,30_Okt,31_Okt,Total_Volume
43,KEDIRI,KD,WILAYAH 8,GO SHOW + KAI ACCESS,1447.0,1118.0,807.0,965.0,846.0,1326.0,1581.0,1679.0,1128.0,842.0,1044.0,1049.0,1446.0,1644.0,1446.0,991.0,826.0,1090.0,909.0,1336.0,1513.0,1390.0,1098.0,945.0,961.0,998.0,1726.0,1732.0,1464.0,1055.0,1028.0,37430
44,NGADILUWIH,NDL,WILAYAH 8,KAI ACCESS,202.0,181.0,100.0,108.0,77.0,160.0,196.0,172.0,156.0,96.0,100.0,84.0,121.0,157.0,191.0,149.0,95.0,89.0,90.0,117.0,180.0,244.0,171.0,111.0,91.0,82.0,98.0,216.0,268.0,180.0,134.0,4416
45,KRASS,KRS,WILAYAH 8,KAI ACCESS,192.0,177.0,140.0,75.0,84.0,121.0,125.0,226.0,174.0,118.0,99.0,90.0,136.0,167.0,183.0,171.0,116.0,97.0,104.0,116.0,159.0,220.0,197.0,100.0,92.0,99.0,157.0,143.0,232.0,200.0,89.0,4399
46,NGUJANG,NJG,WILAYAH 8,PELAYANAN KA,50.0,60.0,31.0,29.0,30.0,24.0,37.0,67.0,70.0,27.0,30.0,39.0,36.0,38.0,65.0,63.0,34.0,29.0,31.0,34.0,34.0,85.0,66.0,51.0,26.0,39.0,47.0,67.0,67.0,59.0,59.0,1424
47,TULUNGAGUNG,TA,WILAYAH 8,GO SHOW + KAI ACCESS,1673.0,1197.0,758.0,835.0,897.0,973.0,1295.0,1548.0,1433.0,1189.0,1043.0,912.0,984.0,1393.0,1520.0,1106.0,1194.0,1038.0,863.0,1180.0,1365.0,1550.0,1239.0,1068.0,1074.0,1223.0,1012.0,1227.0,1598.0,1195.0,1139.0,36721
48,SUMBERGEMPOL,SBL,WILAYAH 8,KAI ACCESS,188.0,163.0,141.0,127.0,239.0,434.0,318.0,182.0,152.0,132.0,203.0,278.0,415.0,302.0,220.0,149.0,112.0,138.0,278.0,449.0,351.0,213.0,163.0,135.0,138.0,329.0,393.0,341.0,201.0,160.0,154.0,7198
49,NGUNUT,NT,WILAYAH 8,GO SHOW + KAI ACCESS,429.0,373.0,485.0,210.0,209.0,235.0,311.0,367.0,352.0,258.0,243.0,173.0,249.0,277.0,446.0,371.0,291.0,207.0,197.0,250.0,247.0,420.0,300.0,235.0,190.0,194.0,252.0,351.0,404.0,351.0,392.0,9269
50,REJOTANGAN,RJ,WILAYAH 8,KAI ACCESS,126.0,104.0,42.0,62.0,146.0,56.0,79.0,147.0,117.0,91.0,43.0,42.0,44.0,90.0,130.0,112.0,62.0,57.0,41.0,62.0,88.0,161.0,93.0,53.0,41.0,76.0,54.0,79.0,147.0,108.0,67.0,2620
51,BLITAR,BL,WILAYAH 8,GO SHOW + KAI ACCESS,1787.0,1620.0,1499.0,1261.0,1043.0,1386.0,1692.0,1924.0,1511.0,1239.0,1081.0,1369.0,1279.0,1936.0,1721.0,1609.0,1278.0,1531.0,1315.0,1338.0,1749.0,1657.0,1627.0,1448.0,1424.0,1378.0,1309.0,1821.0,1507.0,1523.0,1455.0,46317
52,GARUM,GRM,WILAYAH 8,KAI ACCESS,315.0,235.0,215.0,174.0,172.0,188.0,230.0,277.0,297.0,206.0,171.0,123.0,156.0,196.0,341.0,241.0,190.0,170.0,213.0,233.0,186.0,285.0,229.0,338.0,192.0,191.0,185.0,190.0,363.0,246.0,178.0,6926
53,TALUN,TAL,WILAYAH 8,KAI ACCESS,190.0,226.0,128.0,123.0,97.0,145.0,125.0,193.0,190.0,131.0,124.0,129.0,131.0,169.0,208.0,184.0,119.0,99.0,157.0,133.0,119.0,242.0,204.0,152.0,163.0,150.0,111.0,141.0,270.0,223.0,168.0,4944
54,WLINGI,WG,WILAYAH 8,GO SHOW + KAI ACCESS,454.0,390.0,263.0,225.0,247.0,280.0,331.0,412.0,393.0,269.0,415.0,229.0,261.0,341.0,445.0,389.0,248.0,249.0,278.0,351.0,378.0,406.0,363.0,252.0,299.0,237.0,237.0,355.0,413.0,389.0,288.0,10087
55,KESAMBEN,KSB,WILAYAH 8,KAI ACCESS,303.0,284.0,252.0,239.0,194.0,212.0,227.0,305.0,248.0,218.0,230.0,209.0,239.0,262.0,321.0,249.0,296.0,191.0,222.0,249.0,249.0,410.0,275.0,247.0,249.0,220.0,233.0,252.0,278.0,284.0,258.0,7905
56,POHGAJIH,PGJ,WILAYAH 8,KAI ACCESS,19.0,25.0,12.0,15.0,10.0,11.0,17.0,19.0,16.0,19.0,8.0,13.0,12.0,14.0,22.0,20.0,14.0,8.0,10.0,15.0,13.0,22.0,19.0,14.0,10.0,21.0,6.0,26.0,41.0,15.0,7.0,493
57,NGEBRUK,NB,WILAYAH 8,KAI ACCESS,121.0,100.0,75.0,68.0,75.0,91.0,82.0,112.0,94.0,96.0,72.0,72.0,73.0,94.0,94.0,102.0,104.0,95.0,56.0,59.0,128.0,111.0,98.0,62.0,61.0,80.0,63.0,83.0,108.0,113.0,85.0,2727
